game_dt,game_time_est,home_team_ind,team_id,team_name,team,team_lat,team_lon,opp_id,opp_name,opp,opp_lat,opp_lon,team_travel_m,team_travel_km,team_travel_mi,game_id,route_order
2020-07-31T00:00:00Z,8:00,1,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,SAC,Sacramento Kings,Kings,38.5802,-121.4997,0,0,0,SAS_SAC,2
2020-08-02T00:00:00Z,4:00,0,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,1012775.8593872,1012.7758593872,629.309548523282,SAS_MEM,1
2020-08-03T00:00:00Z,8:00,0,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,PHI,Philadelphia 76ers,76ers,39.900663064,-75.169832654,2417991.29123582,2417.99129123582,1502.46966662649,SAS_PHI,1
2020-08-05T00:00:00Z,4:00,1,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,0,0,0,SAS_DEN,2
2020-08-07T00:00:00Z,1:00,1,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,UTA,Utah Jazz,Jazz,40.7683,-111.9011,0,0,0,SAS_UTA,2
2020-08-09T00:00:00Z,3:00,0,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,NOP,New Orleans Pelicans,Pelicans,29.949,-90.0821,809930.446931263,809.930446931263,503.267291740126,SAS_NOP,1
2020-08-11T00:00:00Z,2:00,1,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,HOU,Houston Rockets,Rockets,29.7508,-95.3621,0,0,0,SAS_HOU,2
2020-08-13T00:00:00Z,,0,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,UTA,Utah Jazz,Jazz,40.7683,-111.9011,1755857.12928207,1755.85712928208,1091.03870027913,SAS_UTA,1
2020-07-31T00:00:00Z,9:00,1,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,HOU,Houston Rockets,Rockets,29.7508,-95.3621,0,0,0,DAL_HOU,2
2020-08-02T00:00:00Z,9:00,0,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,PHX,Phoenix Suns,Suns,33.4457,-112.0712,1423465.24879339,1423.46524879339,884.500025107998,DAL_PHX,1
2020-08-04T00:00:00Z,2:30,0,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,SAC,Sacramento Kings,Kings,38.5802,-121.4997,2315504.2707854,2315.5042707854,1438.78720424219,DAL_SAC,1
2020-08-06T00:00:00Z,6:30,1,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,0,0,0,DAL_LAC,2
2020-08-08T00:00:00Z,8:30,1,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,0,0,0,DAL_MIL,2
2020-08-10T00:00:00Z,3:00,0,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,UTA,Utah Jazz,Jazz,40.7683,-111.9011,1608594.90914241,1608.59490914241,999.534227288729,DAL_UTA,1
2020-08-11T00:00:00Z,5:00,1,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,0,0,0,DAL_POR,2
2020-08-13T00:00:00Z,,0,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,PHX,Phoenix Suns,Suns,33.4457,-112.0712,1423465.24879339,1423.46524879339,884.500025107998,DAL_PHX,1
2020-08-01T00:00:00Z,1:00,1,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,MIA,Miami Heat,Heat,25.7814,-80.187,0,0,0,DEN_MIA,2
2020-08-03T00:00:00Z,4:00,0,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,814486.306394416,814.486306394416,506.098170690605,DEN_OKC,1
2020-08-05T00:00:00Z,4:00,0,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,1296226.75410914,1296.22675410914,805.43771442755,DEN_SAS,1
2020-08-06T00:00:00Z,8:00,1,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,0,0,0,DEN_POR,2
2020-08-08T00:00:00Z,3:30,1,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,UTA,Utah Jazz,Jazz,40.7683,-111.9011,0,0,0,DEN_UTA,2
2020-08-10T00:00:00Z,9:00,0,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,LAL,Los Angeles Lakers,Lakers,34.043,-118.2673,1338473.99391965,1338.47399391965,831.688924075849,DEN_LAL,1
2020-08-12T00:00:00Z,9:00,1,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,0,0,0,DEN_LAC,2
2020-08-14T00:00:00Z,,0,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,2164792.61517743,2164.79261517743,1345.13935208542,DEN_TOR,1
2020-08-01T00:00:00Z,3:30,1,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,UTA,Utah Jazz,Jazz,40.7683,-111.9011,0,0,0,OKC_UTA,2
2020-08-03T00:00:00Z,4:00,1,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,0,0,0,OKC_DEN,2
2020-08-05T00:00:00Z,6:30,0,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,LAL,Los Angeles Lakers,Lakers,34.043,-118.2673,1901101.28280967,1901.10128280967,1181.28920520073,OKC_LAL,1
2020-08-07T00:00:00Z,4:00,0,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,678962.392017192,678.962392017192,421.887540490115,OKC_MEM,1
2020-08-09T00:00:00Z,12:30,1,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,WSH,Washington Wizards,Wizards,38.8981,-77.0208,0,0,0,OKC_WSH,2
2020-08-10T00:00:00Z,2:30,0,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,PHX,Phoenix Suns,Suns,33.4457,-112.0712,1353567.36707674,1353.56736707674,841.067508447842,OKC_PHX,1
2020-08-12T00:00:00Z,8:00,1,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,MIA,Miami Heat,Heat,25.7814,-80.187,0,0,0,OKC_MIA,2
2020-08-14T00:00:00Z,,0,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,1901101.28280967,1901.10128280967,1181.28920520073,OKC_LAC,1
2020-07-30T00:00:00Z,9:00,0,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,LAL,Los Angeles Lakers,Lakers,34.043,-118.2673,0,0,0,LAC_LAL,1
2020-08-01T00:00:00Z,6:00,1,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,NOP,New Orleans Pelicans,Pelicans,29.949,-90.0821,0,0,0,LAC_NOP,2
2020-08-04T00:00:00Z,4:00,1,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,PHX,Phoenix Suns,Suns,33.4457,-112.0712,0,0,0,LAC_PHX,2
2020-08-06T00:00:00Z,6:30,0,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,1994960.60357077,1994.96060357077,1239.61066520137,LAC_DAL,1
2020-08-08T00:00:00Z,1:00,0,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,1332566.4525396,1332.5664525396,828.018149180987,LAC_POR,1
2020-08-09T00:00:00Z,9:00,1,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,BKN,Brooklyn Nets,Nets,40.6826,-73.9754,0,0,0,LAC_BKN,2
2020-08-12T00:00:00Z,9:00,0,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,1338473.99391965,1338.47399391965,831.688924075849,LAC_DEN,1
2020-08-14T00:00:00Z,,1,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,0,0,0,LAC_OKC,2
2020-08-01T00:00:00Z,7:00,1,IND,Indiana Pacers,Pacers,39.764,-86.1555,PHI,Philadelphia 76ers,76ers,39.900663064,-75.169832654,0,0,0,IND_PHI,2
2020-08-03T00:00:00Z,4:00,0,IND,Indiana Pacers,Pacers,39.764,-86.1555,WSH,Washington Wizards,Wizards,38.8981,-77.0208,792075.252839393,792.075252839393,492.172591932066,IND_WSH,1
2020-08-04T00:00:00Z,6:00,1,IND,Indiana Pacers,Pacers,39.764,-86.1555,ORL,Orlando Magic,Magic,28.5392,-81.3839,0,0,0,IND_ORL,2
2020-08-06T00:00:00Z,4:00,0,IND,Indiana Pacers,Pacers,39.764,-86.1555,PHX,Phoenix Suns,Suns,33.4457,-112.0712,2410572.3579426,2410.5723579426,1497.85975662715,IND_PHX,1
2020-08-08T00:00:00Z,6:00,1,IND,Indiana Pacers,Pacers,39.764,-86.1555,LAL,Los Angeles Lakers,Lakers,34.043,-118.2673,0,0,0,IND_LAL,2
2020-08-10T00:00:00Z,8:00,0,IND,Indiana Pacers,Pacers,39.764,-86.1555,MIA,Miami Heat,Heat,25.7814,-80.187,1652672.84957365,1652.67284957365,1026.92298121243,IND_MIA,1
2020-08-12T00:00:00Z,4:00,0,IND,Indiana Pacers,Pacers,39.764,-86.1555,HOU,Houston Rockets,Rockets,29.7508,-95.3621,1395184.39083162,1395.18439083162,866.927120115435,IND_HOU,1
2020-08-14T00:00:00Z,,1,IND,Indiana Pacers,Pacers,39.764,-86.1555,MIA,Miami Heat,Heat,25.7814,-80.187,0,0,0,IND_MIA,2
2020-08-01T00:00:00Z,8:30,1,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,LAL,Los Angeles Lakers,Lakers,34.043,-118.2673,0,0,0,TOR_LAL,2
2020-08-03T00:00:00Z,1:30,0,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,MIA,Miami Heat,Heat,25.7814,-80.187,1989746.43145937,1989.74643145937,1236.37072986234,TOR_MIA,1
2020-08-05T00:00:00Z,8:00,0,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,ORL,Orlando Magic,Magic,28.5392,-81.3839,1690901.34194991,1690.90134194991,1050.67705774876,TOR_ORL,1
2020-08-07T00:00:00Z,9:00,1,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,BOS,Boston Celtics,Celtics,42.3662,-71.0621,0,0,0,TOR_BOS,2
2020-08-09T00:00:00Z,2:00,1,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,0,0,0,TOR_MEM,2
2020-08-10T00:00:00Z,6:30,0,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,694119.278719652,694.119278719652,431.305590337309,TOR_MIL,1
2020-08-12T00:00:00Z,6:30,0,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,PHI,Philadelphia 76ers,76ers,39.900663064,-75.169832654,543645.110109562,543.645110109562,337.805305713888,TOR_PHI,1
2020-08-14T00:00:00Z,,1,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,0,0,0,TOR_DEN,2
2020-07-31T00:00:00Z,6:30,0,BOS,Boston Celtics,Celtics,42.3662,-71.0621,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,1378559.74576225,1378.55974576226,856.597047784038,BOS_MIL,1
2020-08-02T00:00:00Z,3:30,1,BOS,Boston Celtics,Celtics,42.3662,-71.0621,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,0,0,0,BOS_POR,2
2020-08-04T00:00:00Z,6:30,0,BOS,Boston Celtics,Celtics,42.3662,-71.0621,MIA,Miami Heat,Heat,25.7814,-80.187,2025875.89048318,2025.87589048318,1258.82052794542,BOS_MIA,1
2020-08-05T00:00:00Z,9:00,1,BOS,Boston Celtics,Celtics,42.3662,-71.0621,BKN,Brooklyn Nets,Nets,40.6826,-73.9754,0,0,0,BOS_BKN,2
2020-08-07T00:00:00Z,9:00,0,BOS,Boston Celtics,Celtics,42.3662,-71.0621,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,691514.854126534,691.514854126534,429.687276423458,BOS_TOR,1
2020-08-09T00:00:00Z,5:00,1,BOS,Boston Celtics,Celtics,42.3662,-71.0621,ORL,Orlando Magic,Magic,28.5392,-81.3839,0,0,0,BOS_ORL,2
2020-08-11T00:00:00Z,6:30,0,BOS,Boston Celtics,Celtics,42.3662,-71.0621,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,1828790.50659581,1828.79050659581,1136.35738587394,BOS_MEM,1
2020-08-13T00:00:00Z,,1,BOS,Boston Celtics,Celtics,42.3662,-71.0621,WSH,Washington Wizards,Wizards,38.8981,-77.0208,0,0,0,BOS_WSH,2
2020-07-31T00:00:00Z,4:00,0,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,2973922.90321501,2973.92290321501,1847.90944829362,MEM_POR,1
2020-08-02T00:00:00Z,4:00,1,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,SAS,San Antonio Spurs,Spurs,29.4272,-98.4375,0,0,0,MEM_SAS,2
2020-08-03T00:00:00Z,6:30,0,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,NOP,New Orleans Pelicans,Pelicans,29.949,-90.0821,577655.521372695,577.655521372695,358.938388970873,MEM_NOP,1
2020-08-05T00:00:00Z,2:30,0,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,UTA,Utah Jazz,Jazz,40.7683,-111.9011,2011482.90908844,2011.48290908844,1249.87714670319,MEM_UTA,1
2020-08-07T00:00:00Z,4:00,1,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,0,0,0,MEM_OKC,2
